"N° DE TRAMO","TRAMO ","VANO (m)","TERNA","FASES","DUCTOS","BUZONES","POSTE-15","POSTE-13","C-185 m2","C-120 m2","C-35 m2","Conductor AAAC-120","ARM -ATVD6","ARM- AT5H","ARM- ATSB","ARM-ATSM","ARM-ATBV4","ARM-ATBV5","ARM-ATPB5","Celda de Distribucion","Reubicacion Celda de Llegada y Salida","TRAFO 25KVA","TABLERO","SED","TABLERO2","185 m2","120 m2","35 m2","Recloser","SBC","PARARRAYOS","SECCIONADORES","RO","RV ""Y""","RV","PUESTA A TIERRA","TUBO DE F°G° 160Ømm","TUBO DE F°G° 2""Ø",""
"1","1 - 2","81.30","2","3","3","Tipo 1","","","487.80","","","75.00","ATVD6","AT5H","","","","","","","","","","","","6.00","","","","","","3.00","","RV ""Y""","","1.00","2.00","1.00",""
"2","2 - 3","78.64","2","3","3","Tipo 1","","","471.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3 - 4","69.99","3","3","4","Tipo 1","","","209.97","209.97","209.97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.a","3 - 3.a","24.78","1","3","1","Tipo 2","","","","","74.34","","","","","","","","","","","","","","","","","3.00","","","3.00","","","","","1.00","1.00","1.00",""
"3.1","3 - 3.1","43.59","6","3","6","Tipo 1","","","392.31","130.77","261.54","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELDA","3.1 - Cel.","11.33","7","3","7","Tipo 1","15","","101.97","67.98","67.98","","","","","","","","","Celda de Distribucion","Reubicacion Celda de Llegada y Salida","","","","","12.00","","","","SBC","","","","","","3.00","2.00","1.00",""
"3.2","3.1 - 3.2","65.39","1","3","2","Tipo 2","15","13","","196.17","","","","","ATSB","","","","","","","","","SED","TABLERO","","6.00","","","","3.00","3.00","","","","2.00","2.00","1.00",""
"3.3","3.2 - 3.3","28.81","1","3","2","Tipo 2","15","13","","86.43","","157.02","","AT5H","ATSB","","","","","","","","","SED","TABLERO","","3.00","","","","3.00","3.00","","","RV","2.00","2.00","1.00",""
"3.4","3.3 - 3.4","50.13","1","3","","","15","","","150.39","","","","AT5H","","","","","","","","","","","","","","","","","","","","","RV","","1.00","",""
"4","4 - 5","48.50","2","3","3","Tipo 1","","","145.50","","145.50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.1","4 - 4.1","72.19","1","3","1","Tipo 2","15","","","216.57","","","","","","","","","","","","","","","","","6.00","","","SBC","","","","","","1.00","2.00","1.00",""
"4.2","4.1 - 4.2","103.16","1","3","1","Tipo 2","15","","","309.48","","157.41","","","","","ATBV4","","","","","","","","","","3.00","","","","","","","RV ""Y""","","1.00","1.00","1.00",""
"4.3","4.2 - 4.3","59.20","1","3","","","15","","","","","177.60","","","","","ATBV4","","","","","","","","","","","","","","","","","RV ""Y""","","","","",""
"5","5 - 6","60.38","2","3","3","Tipo 1","","","181.14","","181.14","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6 - 7","82.82","2","3","3","Tipo 1","","","248.46","","248.46","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","7 - 8","59.24","1","3","2","Tipo 1","15","","177.72","","","","","","","ATSM","","","","","","","","SED","TABLERO","","","3.00","","","3.00","3.00","","","","2.00","2.00","1.00",""
"8","8 - 9","57.21","1","3","2","Tipo 1","","","171.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","9 - 10","67.55","1","3","2","Tipo 1","","","202.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","10 - 11","77.62","1","3","2","Tipo 1","","","232.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","11 - 12","67.30","1","3","2","Tipo 1","","","201.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","12 - 13","56.64","1","3","2","Tipo 1","","","169.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
